ts	base_num	base_chunk_id	query_kind	removed_words_lower_csv	removed_words_original_csv	removed_starts_csv	removed_ends_csv	insert_text	insert_after_word_num_requested	insert_after_word_num_actual	insert_word_count	insert_char_pos	insert_appended_to_end	eligible_words	requested_random_sets	max_unique_sets_possible	ann_has_base	ann_rank_base	local_has_base	local_rank_base	overlap@5	recall@5	ann_top_ids	local_top_ids
20260215_104513	6	Pride and Prejudice - pg1342_chunk3921	ORIGINAL														True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk3921|Pride and Prejudice - pg1342_chunk5194|Pride and Prejudice - pg1342_chunk3898|Pride and Prejudice - pg1342_chunk4457|Pride and Prejudice - pg1342_chunk4042	Pride and Prejudice - pg1342_chunk3921|Pride and Prejudice - pg1342_chunk5194|Pride and Prejudice - pg1342_chunk3898|Pride and Prejudice - pg1342_chunk4457|Pride and Prejudice - pg1342_chunk4042
20260215_104513	6	Pride and Prejudice - pg1342_chunk3921	INSERTED					not at all	10	10	25	66	False				True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk3921|Pride and Prejudice - pg1342_chunk5194|Pride and Prejudice - pg1342_chunk3898|Pride and Prejudice - pg1342_chunk4457|Pride and Prejudice - pg1342_chunk1375	Pride and Prejudice - pg1342_chunk3921|Pride and Prejudice - pg1342_chunk5194|Pride and Prejudice - pg1342_chunk3898|Pride and Prejudice - pg1342_chunk4457|Pride and Prejudice - pg1342_chunk1375
20260215_104513	7	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5368	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5368|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7401|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4973|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5378|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5423	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5368|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7401|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4973|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5378|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5423
20260215_104513	7	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5368	INSERTED					not at all	10	10	25	47	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5368|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4973|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7401|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5323|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5423	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5368|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4973|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7401|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5323|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5423
20260215_104513	8	The King in Yellow by Robert W. Chambers  - pg8492_chunk380	ORIGINAL														True	1	True	1	5/5	1.0000	The King in Yellow by Robert W. Chambers  - pg8492_chunk380|The King in Yellow by Robert W. Chambers  - pg8492_chunk390|The King in Yellow by Robert W. Chambers  - pg8492_chunk2489|Heart of Darkness by Joseph Conrad - pg219_chunk858|Frankenstein  The Modern Prometheus - pg84_chunk2955	The King in Yellow by Robert W. Chambers  - pg8492_chunk380|The King in Yellow by Robert W. Chambers  - pg8492_chunk390|The King in Yellow by Robert W. Chambers  - pg8492_chunk2489|Heart of Darkness by Joseph Conrad - pg219_chunk858|Frankenstein  The Modern Prometheus - pg84_chunk2955
20260215_104513	8	The King in Yellow by Robert W. Chambers  - pg8492_chunk380	INSERTED					not at all	10	10	29	49	False				True	1	True	1	5/5	1.0000	The King in Yellow by Robert W. Chambers  - pg8492_chunk380|The King in Yellow by Robert W. Chambers  - pg8492_chunk390|The King in Yellow by Robert W. Chambers  - pg8492_chunk2489|Frankenstein  The Modern Prometheus - pg84_chunk2955|Heart of Darkness by Joseph Conrad - pg219_chunk858	The King in Yellow by Robert W. Chambers  - pg8492_chunk380|The King in Yellow by Robert W. Chambers  - pg8492_chunk390|The King in Yellow by Robert W. Chambers  - pg8492_chunk2489|Frankenstein  The Modern Prometheus - pg84_chunk2955|Heart of Darkness by Joseph Conrad - pg219_chunk858
20260215_104513	9	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7304	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7304|A Room with a View by E. M. Forster - pg2641_chunk1242|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7298|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1234|Pride and Prejudice - pg1342_chunk1799	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7304|A Room with a View by E. M. Forster - pg2641_chunk1242|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7298|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1234|Pride and Prejudice - pg1342_chunk1799
20260215_104513	9	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7304	INSERTED					not at all	10	10	26	55	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7304|A Room with a View by E. M. Forster - pg2641_chunk1242|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7298|Pride and Prejudice - pg1342_chunk1799|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1234	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7304|A Room with a View by E. M. Forster - pg2641_chunk1242|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7298|Pride and Prejudice - pg1342_chunk1799|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1234
20260215_104513	10	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3053	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3053|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1756|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1674|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6820|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1797	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3053|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1756|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1674|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1797|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6820
20260215_104513	10	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3053	INSERTED					not at all	10	10	21	72	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3053|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1756|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1674|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1797|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6820	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3053|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1756|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1674|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1797|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6820
20260215_104513	11	Pride and Prejudice - pg1342_chunk5159	ORIGINAL														True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk5159|Pride and Prejudice - pg1342_chunk2195|Pride and Prejudice - pg1342_chunk5155|Pride and Prejudice - pg1342_chunk4157|Pride and Prejudice - pg1342_chunk1083	Pride and Prejudice - pg1342_chunk5159|Pride and Prejudice - pg1342_chunk2195|Pride and Prejudice - pg1342_chunk5155|Pride and Prejudice - pg1342_chunk4157|Pride and Prejudice - pg1342_chunk1083
20260215_104513	11	Pride and Prejudice - pg1342_chunk5159	INSERTED					not at all	10	10	25	48	False				True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk5159|Pride and Prejudice - pg1342_chunk5155|Pride and Prejudice - pg1342_chunk2195|Pride and Prejudice - pg1342_chunk2375|Pride and Prejudice - pg1342_chunk1687	Pride and Prejudice - pg1342_chunk5159|Pride and Prejudice - pg1342_chunk5155|Pride and Prejudice - pg1342_chunk2195|Pride and Prejudice - pg1342_chunk2375|Pride and Prejudice - pg1342_chunk1687
20260215_104513	12	Pride and Prejudice - pg1342_chunk2035	ORIGINAL														True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk2035|Pride and Prejudice - pg1342_chunk449|Pride and Prejudice - pg1342_chunk2107|Pride and Prejudice - pg1342_chunk4711|Pride and Prejudice - pg1342_chunk5155	Pride and Prejudice - pg1342_chunk2035|Pride and Prejudice - pg1342_chunk449|Pride and Prejudice - pg1342_chunk2107|Pride and Prejudice - pg1342_chunk4711|Pride and Prejudice - pg1342_chunk5155
20260215_104513	12	Pride and Prejudice - pg1342_chunk2035	INSERTED					not at all	10	10	28	56	False				True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk2035|Pride and Prejudice - pg1342_chunk449|Pride and Prejudice - pg1342_chunk2107|Pride and Prejudice - pg1342_chunk5155|Pride and Prejudice - pg1342_chunk4711	Pride and Prejudice - pg1342_chunk2035|Pride and Prejudice - pg1342_chunk449|Pride and Prejudice - pg1342_chunk2107|Pride and Prejudice - pg1342_chunk5155|Pride and Prejudice - pg1342_chunk4711
20260215_104513	13	Frankenstein  The Modern Prometheus - pg84_chunk2390	ORIGINAL														True	1	True	1	5/5	1.0000	Frankenstein  The Modern Prometheus - pg84_chunk2390|Frankenstein  The Modern Prometheus - pg84_chunk2676|Frankenstein  The Modern Prometheus - pg84_chunk2295|Pride and Prejudice - pg1342_chunk4480|Frankenstein  The Modern Prometheus - pg84_chunk2963	Frankenstein  The Modern Prometheus - pg84_chunk2390|Frankenstein  The Modern Prometheus - pg84_chunk2676|Frankenstein  The Modern Prometheus - pg84_chunk2295|Frankenstein  The Modern Prometheus - pg84_chunk2963|Pride and Prejudice - pg1342_chunk4480
20260215_104513	13	Frankenstein  The Modern Prometheus - pg84_chunk2390	INSERTED					not at all	10	10	23	61	False				True	1	True	1	5/5	1.0000	Frankenstein  The Modern Prometheus - pg84_chunk2390|Frankenstein  The Modern Prometheus - pg84_chunk2676|Pride and Prejudice - pg1342_chunk4480|The King in Yellow by Robert W. Chambers  - pg8492_chunk1218|Pride and Prejudice - pg1342_chunk3544	Frankenstein  The Modern Prometheus - pg84_chunk2390|Frankenstein  The Modern Prometheus - pg84_chunk2676|Pride and Prejudice - pg1342_chunk4480|The King in Yellow by Robert W. Chambers  - pg8492_chunk1218|Pride and Prejudice - pg1342_chunk3544
20260215_104513	14	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2842	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2842|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1765|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk764|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3348|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2783	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2842|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1765|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk764|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3348|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2783
20260215_104513	14	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2842	INSERTED					not at all	10	10	24	52	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2842|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3409|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3348|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7051|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2783	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2842|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3409|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3348|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7051|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2783
20260215_104513	15	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2607	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2607|Frankenstein  The Modern Prometheus - pg84_chunk1562|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2854|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3150|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2615	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2607|Frankenstein  The Modern Prometheus - pg84_chunk1562|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2854|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3150|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2615
20260215_104513	15	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2607	INSERTED					not at all	10	10	29	44	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2607|Frankenstein  The Modern Prometheus - pg84_chunk1562|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3108|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2854|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2615	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2607|Frankenstein  The Modern Prometheus - pg84_chunk1562|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3108|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2854|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2615
20260215_104513	16	The King in Yellow by Robert W. Chambers  - pg8492_chunk1486	ORIGINAL														True	1	True	1	4/5	0.8000	The King in Yellow by Robert W. Chambers  - pg8492_chunk1486|Frankenstein  The Modern Prometheus - pg84_chunk990|Frankenstein  The Modern Prometheus - pg84_chunk2616|The King in Yellow by Robert W. Chambers  - pg8492_chunk1580|Frankenstein  The Modern Prometheus - pg84_chunk1320	The King in Yellow by Robert W. Chambers  - pg8492_chunk1486|Frankenstein  The Modern Prometheus - pg84_chunk990|Frankenstein  The Modern Prometheus - pg84_chunk2616|The King in Yellow by Robert W. Chambers  - pg8492_chunk1580|A Room with a View by E. M. Forster - pg2641_chunk602
20260215_104513	16	The King in Yellow by Robert W. Chambers  - pg8492_chunk1486	INSERTED					not at all	10	10	28	51	False				True	1	True	1	5/5	1.0000	The King in Yellow by Robert W. Chambers  - pg8492_chunk1486|Frankenstein  The Modern Prometheus - pg84_chunk990|The King in Yellow by Robert W. Chambers  - pg8492_chunk1580|Frankenstein  The Modern Prometheus - pg84_chunk2616|A Room with a View by E. M. Forster - pg2641_chunk602	The King in Yellow by Robert W. Chambers  - pg8492_chunk1486|Frankenstein  The Modern Prometheus - pg84_chunk990|The King in Yellow by Robert W. Chambers  - pg8492_chunk1580|Frankenstein  The Modern Prometheus - pg84_chunk2616|A Room with a View by E. M. Forster - pg2641_chunk602
20260215_104513	17	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3515	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3515|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3564|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3517|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1820|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6949	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3515|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3564|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3517|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1820|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6949
20260215_104513	17	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3515	INSERTED					not at all	10	10	16	68	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3515|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3564|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3517|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1820|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6949	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3515|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3564|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3517|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1820|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6949
20260215_104513	18	Frankenstein  The Modern Prometheus - pg84_chunk760	ORIGINAL														True	1	True	1	5/5	1.0000	Frankenstein  The Modern Prometheus - pg84_chunk760|Frankenstein  The Modern Prometheus - pg84_chunk2644|Frankenstein  The Modern Prometheus - pg84_chunk2394|Frankenstein  The Modern Prometheus - pg84_chunk2452|Frankenstein  The Modern Prometheus - pg84_chunk684	Frankenstein  The Modern Prometheus - pg84_chunk760|Frankenstein  The Modern Prometheus - pg84_chunk2644|Frankenstein  The Modern Prometheus - pg84_chunk2394|Frankenstein  The Modern Prometheus - pg84_chunk2452|Frankenstein  The Modern Prometheus - pg84_chunk684
20260215_104513	18	Frankenstein  The Modern Prometheus - pg84_chunk760	INSERTED					not at all	10	10	24	58	False				True	1	True	1	5/5	1.0000	Frankenstein  The Modern Prometheus - pg84_chunk760|Frankenstein  The Modern Prometheus - pg84_chunk2644|Frankenstein  The Modern Prometheus - pg84_chunk2394|Pride and Prejudice - pg1342_chunk615|Frankenstein  The Modern Prometheus - pg84_chunk684	Frankenstein  The Modern Prometheus - pg84_chunk760|Frankenstein  The Modern Prometheus - pg84_chunk2644|Frankenstein  The Modern Prometheus - pg84_chunk2394|Pride and Prejudice - pg1342_chunk615|Frankenstein  The Modern Prometheus - pg84_chunk684
20260215_104513	19	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3606	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3606|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7275|Frankenstein  The Modern Prometheus - pg84_chunk571|Frankenstein  The Modern Prometheus - pg84_chunk329|Common Sense by Thomas Paine - pg147_chunk9	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3606|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7275|Frankenstein  The Modern Prometheus - pg84_chunk571|Frankenstein  The Modern Prometheus - pg84_chunk329|Common Sense by Thomas Paine - pg147_chunk9
