ts	chunk_id	reason	eligible_words	n_words_remove	requested_random_sets	max_unique_sets_possible
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1516	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk2497	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk880	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2914	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk1256	eligible_words_lt_N_WORDS_REMOVE	3	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2248	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk2543	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk172	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4805	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk826	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk4935	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk4982	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk307	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk191	eligible_words_lt_N_WORDS_REMOVE	2	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2315	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk1076	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk63	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1512	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk2606	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk452	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk785	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk2677	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk613	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk844	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1033	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1121	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk2479	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk765	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk680	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk4041	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5079	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3080	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk1079	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk599	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk1396	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1204	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1199	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk325	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk493	eligible_words_lt_N_WORDS_REMOVE	1	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4992	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4541	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5056	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3433	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1283	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk1727	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6890	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk1422	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk5123	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk970	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2971	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk2105	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Common Sense by Thomas Paine - pg147_chunk552	eligible_words_lt_N_WORDS_REMOVE	4	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5380	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk31	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk1350	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1498	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1692	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk154	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Common Sense by Thomas Paine - pg147_chunk600	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2178	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk877	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk1642	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1976	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk268	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk1383	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Common Sense by Thomas Paine - pg147_chunk293	eligible_words_lt_N_WORDS_REMOVE	1	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2417	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk150	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk980	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Common Sense by Thomas Paine - pg147_chunk651	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk287	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk1273	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk4687	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk312	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk2449	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7310	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Common Sense by Thomas Paine - pg147_chunk631	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk780	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk105	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk769	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk3619	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1257	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6619	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6940	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk4721	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6848	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk695	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk882	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk449	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6324	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk1230	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6873	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk691	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk1032	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk279	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Common Sense by Thomas Paine - pg147_chunk557	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk2071	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1335	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1289	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk300	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2017	eligible_words_lt_N_WORDS_REMOVE	2	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1122	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3188	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk30	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6108	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk2386	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk2435	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6555	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6223	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk3139	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk603	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2974	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk2841	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk4166	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk4293	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5166	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk2186	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1541	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk2506	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4005	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk5126	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk3613	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk2073	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk2671	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1711	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk700	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1942	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk4218	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk1278	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk565	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4108	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk3992	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk1738	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk811	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk290	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk847	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk5065	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk207	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk1581	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3387	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk1425	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1006	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk2213	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk449	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk524	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk2600	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk294	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6498	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk1768	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk3462	eligible_words_lt_N_WORDS_REMOVE	4	7	10	
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk656	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk2082	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1174	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3292	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk216	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk175	eligible_words_lt_N_WORDS_REMOVE	3	7	10	
