ts	base_num	base_chunk_id	query_kind	removed_words_lower_csv	removed_words_original_csv	removed_starts_csv	removed_ends_csv	insert_text	insert_after_word_num_requested	insert_after_word_num_actual	insert_word_count	insert_char_pos	insert_appended_to_end	eligible_words	requested_random_sets	max_unique_sets_possible	ann_has_base	ann_rank_base	local_has_base	local_rank_base	overlap@5	recall@5	ann_top_ids	local_top_ids
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	manila,government,implication,there,peace,negotiations,suppressed	Manila,Government,implication,there,peace,negotiations,suppressed	9,16,49,74,91,97,134	15,26,60,79,96,109,144							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6661|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059|The King in Yellow by Robert W. Chambers  - pg8492_chunk76|Pride and Prejudice - pg1342_chunk4166	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6661|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059|The King in Yellow by Robert W. Chambers  - pg8492_chunk76|Pride and Prejudice - pg1342_chunk4166
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	implication,there,conduct,peace,negotiations,general,suppressed	implication,there,conduct,peace,negotiations,General,suppressed	49,74,83,91,97,111,134	60,79,90,96,109,118,144							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1271|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk994|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1918	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1271|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk994|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1918
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	manila,government,conduct,peace,general,bandholtz,suppressed	Manila,Government,conduct,peace,General,Bandholtz,suppressed	9,16,83,91,111,119,134	15,26,90,96,118,128,144							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk748|Pride and Prejudice - pg1342_chunk4166|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3990	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk748|Pride and Prejudice - pg1342_chunk4166|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3990
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	there,conduct,peace,negotiations,general,bandholtz,suppressed	there,conduct,peace,negotiations,General,Bandholtz,suppressed	74,83,91,97,111,119,134	79,90,96,109,118,128,144							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1271|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk994|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1918	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1271|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk994|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1918
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	manila,government,implication,there,conduct,negotiations,bandholtz	Manila,Government,implication,there,conduct,negotiations,Bandholtz	9,16,49,74,83,97,119	15,26,60,79,90,109,128							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3985|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1865|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1290	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3985|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1865|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1290
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	implication,there,conduct,peace,general,bandholtz,suppressed	implication,there,conduct,peace,General,Bandholtz,suppressed	49,74,83,91,111,119,134	60,79,90,96,118,128,144							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk109|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3985|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1271	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk109|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3985|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1271
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	manila,government,implication,there,conduct,peace,general	Manila,Government,implication,there,conduct,peace,General	9,16,49,74,83,91,111	15,26,60,79,90,96,118							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1611|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6848|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1611|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6848|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	manila,government,implication,conduct,peace,bandholtz,suppressed	Manila,Government,implication,conduct,peace,Bandholtz,suppressed	9,16,49,83,91,119,134	15,26,60,90,96,128,144							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3990|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6661|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3990|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6661|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4059
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	manila,government,implication,conduct,peace,general,suppressed	Manila,Government,implication,conduct,peace,General,suppressed	9,16,49,83,91,111,134	15,26,60,90,96,118,144							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1611|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk748|Pride and Prejudice - pg1342_chunk4166	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1611|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk748|Pride and Prejudice - pg1342_chunk4166
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	ORIGINAL											10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk409|story_1_chunk3|The King in Yellow by Robert W. Chambers  - pg8492_chunk301	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk409|story_1_chunk3|The King in Yellow by Robert W. Chambers  - pg8492_chunk301
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	remember,returned,london,after,indian,regular,years	remember,returned,London,after,Indian,regular,years	20,35,47,54,69,106,136	28,43,53,59,75,113,141							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|A Room with a View by E. M. Forster - pg2641_chunk1315|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk409|The King in Yellow by Robert W. Chambers  - pg8492_chunk1763	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|A Room with a View by E. M. Forster - pg2641_chunk1315|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk409|The King in Yellow by Robert W. Chambers  - pg8492_chunk1763
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	remember,returned,london,after,indian,ocean,pacific	remember,returned,London,after,Indian,Ocean,Pacific	20,35,47,54,69,76,83	28,43,53,59,75,81,90							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk409|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1040|Frankenstein  The Modern Prometheus - pg84_chunk2957	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk409|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1040|Frankenstein  The Modern Prometheus - pg84_chunk2957
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	remember,london,after,indian,pacific,china,regular	remember,London,after,Indian,Pacific,China,regular	20,47,54,69,83,92,106	28,53,59,75,90,97,113							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|The King in Yellow by Robert W. Chambers  - pg8492_chunk1190|The King in Yellow by Robert W. Chambers  - pg8492_chunk1232|Frankenstein  The Modern Prometheus - pg84_chunk2285	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|The King in Yellow by Robert W. Chambers  - pg8492_chunk1190|The King in Yellow by Robert W. Chambers  - pg8492_chunk1232|Frankenstein  The Modern Prometheus - pg84_chunk2285
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	remember,returned,indian,ocean,pacific,china,regular	remember,returned,Indian,Ocean,Pacific,China,regular	20,35,69,76,83,92,106	28,43,75,81,90,97,113							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk2332|Frankenstein  The Modern Prometheus - pg84_chunk1620|Frankenstein  The Modern Prometheus - pg84_chunk48	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk2332|Frankenstein  The Modern Prometheus - pg84_chunk1620|Frankenstein  The Modern Prometheus - pg84_chunk48
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	remember,returned,london,after,indian,china,regular	remember,returned,London,after,Indian,China,regular	20,35,47,54,69,92,106	28,43,53,59,75,97,113							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk2285|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1040|The King in Yellow by Robert W. Chambers  - pg8492_chunk1232	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk2285|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1040|The King in Yellow by Robert W. Chambers  - pg8492_chunk1232
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	london,after,ocean,pacific,china,regular,years	London,after,Ocean,Pacific,China,regular,years	47,54,76,83,92,106,136	53,59,81,90,97,113,141							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk1303|Frankenstein  The Modern Prometheus - pg84_chunk2332|Frankenstein  The Modern Prometheus - pg84_chunk2285	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk1303|Frankenstein  The Modern Prometheus - pg84_chunk2332|Frankenstein  The Modern Prometheus - pg84_chunk2285
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	remember,returned,london,indian,ocean,pacific,china	remember,returned,London,Indian,Ocean,Pacific,China	20,35,47,69,76,83,92	28,43,53,75,81,90,97							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk2332|The King in Yellow by Robert W. Chambers  - pg8492_chunk2407|Frankenstein  The Modern Prometheus - pg84_chunk2285	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk2332|The King in Yellow by Robert W. Chambers  - pg8492_chunk2407|Frankenstein  The Modern Prometheus - pg84_chunk2285
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	remember,returned,london,after,indian,pacific,years	remember,returned,London,after,Indian,Pacific,years	20,35,47,54,69,83,136	28,43,53,59,75,90,141							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk409|A Room with a View by E. M. Forster - pg2641_chunk1315|The King in Yellow by Robert W. Chambers  - pg8492_chunk1763	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk409|A Room with a View by E. M. Forster - pg2641_chunk1315|The King in Yellow by Robert W. Chambers  - pg8492_chunk1763
20260215_113302	3	Heart of Darkness by Joseph Conrad - pg219_chunk90	REMOVED	remember,london,after,indian,ocean,pacific,china	remember,London,after,Indian,Ocean,Pacific,China	20,47,54,69,76,83,92	28,53,59,75,81,90,97							10	10	120	True	1	True	1	5/5	1.0000	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk2332|The King in Yellow by Robert W. Chambers  - pg8492_chunk2407|The King in Yellow by Robert W. Chambers  - pg8492_chunk301	Heart of Darkness by Joseph Conrad - pg219_chunk90|Heart of Darkness by Joseph Conrad - pg219_chunk210|Frankenstein  The Modern Prometheus - pg84_chunk2332|The King in Yellow by Robert W. Chambers  - pg8492_chunk301|The King in Yellow by Robert W. Chambers  - pg8492_chunk2407
